Subject Number,Gender,Nice_Mean,Test Date,Age,Age Category,Ethnicity,Usable_Final_Sally,Exclusion_Criteria_Sally,Where will Sally look?,Where does Sally think her ball is?,Should Anne and Sally be friends?,Is Anne a nice girl or not a nice girl,Is Sally a nice girl or not a nice girl?,Order of think and look asked,1: look asked first; 2: think asked first 
1214,F,Nice,8/24/13,5.126824818,five,Wh,0,was too old,Closet,Basket,Yes,Nice,No,Look 1st asked,1
1215,M,Mean,8/24/13,5.011861314,five,Wh/as,0,was too old,Closet,Basket,Yes,Mean,Yes,Look 1st asked,1
1216,M,Nice,8/24/13,3.115674196,three,Wh,1,,Basket,Closet,Yes,Nice,No,Look 1st asked,1
1217,F,Mean,8/24/13,3.707557503,three,Wh/as,1,,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1218,F,Nice,8/25/13,3.214236824,three,Wh,0,did not understand,Closet,Closet,No,Mean,No,Look 1st asked,1
1219,M,Nice,8/25/13,5.455291971,five,Wh,0,was too old,Closet,Closet,Yes,Nice,Yes,Look 1st asked,1
1220,M,Nice,8/25/13,2.658453114,younger,Wh,0,was too young,,,,,,Look 1st asked,1
1221,F,Mean,8/25/13,4.773722628,four,Wh,1,,Basket,Closet,Yes,Mean,Nice,Look 1st asked,1
1222,F,Mean,8/25/13,3.02532512,three,Wh,1,,Basket,Basket,Yes,Nice,Nice,Look 1st asked,1
1223,F,Nice,8/25/13,4.444140197,four,Wh,1,,Basket,Basket,Yes,Mean,Nice,Look 1st asked,1
1224,F,Mean,8/25/13,5.803676183,five,Wh,0,"No comments, so exclude to be safe",Basket,Closet,Yes,Mean,Yes,Look 1st asked,1
1225,M,Nice,8/25/13,4.825729927,four,Wh,1,,Basket,Basket,Yes,Mean,Nice,Look 1st asked,1
1226,F,Mean,8/26/13,3.498973306,three,Wh,1,,Basket,Basket,Yes,Mean,Nice,Look 1st asked,1
1227,M,Mean,8/26/13,3.498973306,three,Wh,1,,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1228,M,Nice,8/26/13,3.151266256,three,Wh,1,,Basket,Closet,Yes,Nice,Nice,Look 1st asked,1
1229,M,Mean,8/26/13,3.877327492,three,Wh,0,did not complete task,,,,,,Look 1st asked,1
1230,F,Nice,8/26/13,2.710472279,younger,Wh,0,was too young,Closet,Closet,Yes,Mean,Yes,Look 1st asked,1
1231,F,Mean,8/26/13,3.762322015,three,Wh,1,,Basket,Closet,No,Mean,Nice,Look 1st asked,1
1232,M,Nice,8/26/13,3.518138261,three,As,1,,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1233,F,Mean,8/26/13,3.713033954,three,Wh,1,,Closet,Closet,No,Mean,Mean,Look 1st asked,1
1234,F,Nice,8/26/13,4.318181818,four,Wh,1,,Basket,Basket,Yes,Nice,Nice,Look 1st asked,1
1235,M,Mean,8/26/13,3.017111567,three,Wh,1,,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1236,F,Nice,8/27/13,2.973305955,younger,Wh,0,was too young,Basket,Basket,Yes,Nice,Yes,Look 1st asked,1
1237,M,Nice,8/27/13,4.724452555,four,Wh,1,,Basket,Closet,Yes,Nice,Nice,Look 1st asked,1
1238,M,Nice,8/27/13,3.247091034,three,Wh,0,"No comments, so exclude to be safe",Basket,Basket,Yes,Nice,Nice,Look 1st asked,1
1239,F,Mean,8/27/13,2.877481177,younger,Wh,0,was too young,Closet,Closet,Yes,Nice,Mean,Look 1st asked,1
1240,M,Mean,8/27/13,3.23340178,three,In/Wh.?,1,,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1241,M,Mean,8/27/13,5.572992701,five,In/Wh?,0,"No comments, so exclude to be safe",Closet,Basket,No,Mean,Nice,Look 1st asked,1
1242,F,Nice,8/31/13,4.331872946,four,As,1,,Closet,Closet,Yes,Mean,Nice,Look 1st asked,1
1243,F,Mean,8/31/13,4.740875912,four,Wh,1,,Basket,Closet,Yes,Mean,Nice,Look 1st asked,1
1244,F,Nice,8/31/13,4.329134721,four,As,1,,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1245,F,Nice,8/31/13,4.935218978,four,Wh,1,,Basket,Basket,No,Mean,Mean,Look 1st asked,1
1246,F,Mean,8/31/13,4.825729927,four,Wh,1,,Basket,Basket,Yes,Mean,Nice,Look 1st asked,1
1247,F,Nice,8/31/13,3.036276523,three,Wh,1,,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1248,F,,9/6/13,3.655030801,three,Wh,0,was not assigned to do the task,Closet,Closet,Yes,Nice,Mean,,1
1249,M,Nice,9/6/13,4.386637459,four,Wh,1,,Closet,Basket,Yes,Mean,Nice,Look 1st asked,1
1250,M,Mean,9/6/13,4.654983571,four,Wh,1,,Basket,Basket,No,Mean,Nice,Look 1st asked,1
1251,M,,9/8/13,3.997809419,three,Wh,0,was not assigned to do the task,,,,,,,0
1252,M,Mean,9/8/13,4.17305586,four,Mix As Wh,1,,Closet,Closet,Yes,Mean,Nice,Look 1st asked,1
1253,F,,9/8/13,2.978781656,younger,Mix as Wh,0,was not assigned to do the task,,,,,,,0
1254,M,Nice,9/8/13,4.839416058,four,Wh,1,,Closet,Basket,Yes,Nice,Nice,Look 1st asked,1
1255,M,Mean,9/8/13,4.044359255,four,Wh,1,,Closet,Closet,Yes,Mean,Nice,Look 1st asked,1
1256,M,,9/8/13,3.1676933,three,Mix-LatiNo?,0,was not assigned to do the task,,,,,,,0
1257,F,Mean,9/8/13,5.866640594,five,Mix-LatiNo?,1,,Basket,Basket,No,Mean,Nice,Look 1st asked,1
1258,F,,9/12/13,3.926615553,three,Wh,0,was not assigned to do the task,,,,,,,0
1259,F,Mean,9/12/13,4.671412924,four,Wh,1,,Closet,Closet,Yes,Mean,Nice,Look 1st asked,1
1260,F,Mean,9/12/13,3.51266256,three,Wh,0,"No comments, so exclude to be safe",,,,,,Look 1st asked,1
1261,F,Nice,9/12/13,2.735112936,younger,Wh,0,was too young,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1262,F,Mean,9/12/13,4.181270537,four,Wh,1,,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1263,M,Mean,9/13/13,3.518138261,three,Wh,0,"No comments, so exclude to be safe",Basket,Basket,No,Mean,Nice,Look 1st asked,1
1264,F,Nice,9/13/13,3.792442497,three,Wh,1,,Closet,Closet,Yes,Mean,Nice,Look 1st asked,1
1265,F,Mean,9/13/13,3.260780287,three,Wh,1,,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1266,F,Mean,9/13/13,3.844468784,three,Wh,1,,Basket,Closet,Yes,Nice,Mean,Look 1st asked,1
1267,M,Nice,9/13/13,3.058179329,three,Wh,0,"No comments, so exclude to be safe",Closet,Closet,Yes,Mean,Mean,Look 1st asked,1
1268,F,Mean,9/15/13,4.101861993,four,As,1,,Closet,Basket,No,Mean,Nice,Look 1st asked,1
1269,M,Nice,9/15/13,4.074479737,four,Wh,0,"No comments, so exclude to be safe",Basket,Closet,Yes,Nice,Nice,Look 1st asked,1
1270,M,Nice,9/15/13,4.26067908,four,As,0,"No comments, so exclude to be safe",Closet,Closet,Yes,Nice,Mean,Look 1st asked,1
1271,M,Mean,9/15/13,4.279846659,four,Wh,1,,Basket,Basket,,Mean,Nice,Look 1st asked,1
1272,M,Mean,9/15/13,4.63033954,four,Wh,1,,Basket,Basket,Yes,Mean,Nice,Look 1st asked,1
1273,M,,9/20/13,3.866374589,three,Wh,0,was not assigned to do the task,,,,,,,0
1274,F,Nice,9/20/13,6.274540477,older,Israeli,0,was too old,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1275,M,,9/20/13,3.37303217,three,Wh,0,was not assigned to do the task,,,,,,,0
1276,M,Nice,9/20/13,4.501642935,four,As,0,"No comments, so exclude to be safe",Basket,Closet,Yes,Nice,Nice,Look 1st asked,1
1277,F,Mean,9/20/13,4.244249726,four,Wh,1,,Closet,Basket,No,Mean,Nice,Look 1st asked,1
1278,M,Mean,9/22/13,5.877590927,five,Wh,1,,Closet,Closet,Yes,Mean,Nice,Look 1st asked,1
1279,F,Mean,9/22/13,3.997809419,three,Wh,1,,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1280,F,Nice,9/22/13,6.63863903,older,Wh,0,was too old,Basket,Basket,No,Mean,Nice,Look 1st asked,1
1281,M,Mean,9/22/13,3.770536692,three,Wh,1,,Closet,Basket,Yes,Mean,Nice,Look 1st asked,1
1282,M,Nice,9/22/13,3.838992333,three,Wh,0,"No comments, so exclude to be safe",Basket,Basket,Yes,Nice,Nice,Look 1st asked,1
1283,M,Nice,9/26/13,4.003285871,four,Wh,1,,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1284,F,,9/27/13,3.482546201,three,Wh/As,0,was not assigned to do the task,,,,,,,0
1285,F,Nice,9/27/13,4.299014239,four,Wh,1,,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1286,M,,9/27/13,3.052703628,three,Wh,0,was not assigned to do the task,,,,,,,0
1287,M,,9/27/13,3.000684463,three,Wh/Bl,0,was not assigned to do the task,,,,,,,0
1288,F,,9/27/13,3.611225188,three,Wh,0,was not assigned to do the task,,,,,,,1
1289,F,Mean,9/27/13,4.760036496,four,Wh/As,1,,Closet,Closet,Yes,Mean,Nice,Look 1st asked,1
1290,F,Nice,9/29/13,3.737166324,three,As-Indian ,0,language issues,,,,,,Look 1st asked,1
1291,F,Nice,9/29/13,3.849945235,three,As,0,language issues,,,,,,Look 1st asked,1
1292,F,,9/29/13,3.849945235,three,Wh,0,was not assigned to do the task,,,,,,,0
1293,F,Mean,9/29/13,5.419708029,five,Hispanic,1,,Closet,Basket,Yes,Mean,Nice,Look 1st asked,1
1294,F,Nice,9/29/13,5.811888932,five,As,1,,Basket,Closet,Yes,Nice,Nice,Look 1st asked,1
1295,F,Mean,9/29/13,3.507186858,three,As,0,language issues,Closet,Closet,Yes,Nice,Nice,Think 1st asked,2
1296,F,Nice,9/29/13,4.12924425,four,Wh,1,,Closet,Basket,Yes,Nice,Nice,Think 1st asked,2
1297,F,,9/29/13,3.888280394,three,Hispanic,0,was not assigned to do the task,,,,,,,0
1298,M,,9/29/13,3.904709748,three,Hispanic,0,developmental disorder,Basket,Basket,Yes,Mean,Nice,,2
1299,F,Mean,9/29/13,3.490759754,three,Wh,0,did not do the task,,,,,,Look 1st asked,1
1300,F,,9/29/13,3.737166324,three,As,0,was not assigned to do the task,,,,,,,0
1301,F,,9/29/13,3.712525667,three,Arab,0,was not assigned to do the task,,,,,,,0
1302,M,Mean,9/29/13,5.447080292,five,Wh,1,,Closet,,Yes,Nice,Nice,Think 1st asked,2
1303,F,Nice,9/29/13,4.268893757,four,As,1,,Basket,Basket,No,Nice,Nice,Think 1st asked,2
1304,M,Mean,10/4/13,4.033406353,four,Wh,1,,Basket,Basket,Yes,Mean,Nice,Look 1st asked,1
1305,M,Mean,10/4/13,3.904709748,three,Wh,1,,Closet,Basket,Yes,Mean,Nice,Think 1st asked,2
1306,M,,10/4/13,3.885542169,three,Wh,0,was not assigned to do the task,,,,,,,0
1307,M,,10/4/13,3.274469541,three,Wh,0,was not assigned to do the task,,,,,,,0
1308,F,Nice,10/4/13,4.726177437,four,Mix-Wh/As,1,,Closet,Closet,Yes,Nice,Nice,Look 1st asked,1
1309,F,Nice,10/5/13,5.15419708,five,Wh,1,,Closet,Basket,Yes,Nice,Nice,Look 1st asked,1
1310,M,Nice,10/5/13,3.085557837,three,Wh,0,did not understand,,,,,,Think 1st asked,2
